NC_001731	10279	Molluscum contagiosum virus	NC_001731:GENE_41401-47802;
NC_002188	10261	Fowlpox virus	NC_002188:GENE_110523-116372;
NC_002188	10261	Fowlpox virus	NC_002188:GENE_122769-128102;
NC_002188	10261	Fowlpox virus	NC_002188:GENE_144454-150066;
NC_002188	10261	Fowlpox virus	NC_002188:GENE_150097-155397;
NC_003389	10276	Swinepox virus	NC_003389:GENE_120870-126749;
NC_005179	38804	Yaba monkey tumor virus	NC_005179:GENE_114315-120002;
NC_005309	44088	Canarypox virus	NC_005309:GENE_128470-134226;
NC_005309	44088	Canarypox virus	NC_005309:GENE_134293-139596;
NC_005309	44088	Canarypox virus	NC_005309:GENE_139876-145731;
NC_005309	44088	Canarypox virus	NC_005309:GENE_152168-157573;
NC_005309	44088	Canarypox virus	NC_005309:GENE_179913-185699;
NC_005336	10258,129726	Orf virus,Pseudocowpox virus	NC_005336:GENE_54358-58227;
NC_005337	129727	Bovine papular stomatitis virus	NC_005337:GENE_54446-58315;
NC_006966	304399	Mule deerpox virus	NC_006966:GENE_83577-87841;
NC_006966	304399	Mule deerpox virus	NC_006966:GENE_133038-138899;
NC_008030	1285600	Nile crocodilepox virus	NC_008030:GENE_39049-44775;
NC_008030	1285600	Nile crocodilepox virus	NC_008030:GENE_44901-50525;
NC_008030	1285600	Nile crocodilepox virus	NC_008030:GENE_50661-56486;
NC_008030	1285600	Nile crocodilepox virus	NC_008030:GENE_119586-123455;
NC_024446	648998	Unclassified Penguinpox virus	NC_024446:GENE_107437-113121;
NC_024446	648998	Unclassified Penguinpox virus	NC_024446:GENE_113184-118622;
NC_024446	648998	Unclassified Penguinpox virus	NC_024446:GENE_118822-124590;
NC_024446	648998	Unclassified Penguinpox virus	NC_024446:GENE_159840-165155;
NC_024447	10264	Pigeonpox virus	NC_024447:GENE_106341-111998;
NC_024447	10264	Pigeonpox virus	NC_024447:GENE_112061-117541;
NC_024447	10264	Pigeonpox virus	NC_024447:GENE_117784-123597;
NC_024447	10264	Pigeonpox virus	NC_024447:GENE_130004-135346;
NC_027213	10256	Raccoonpox virus	NC_027213:GENE_193599-199307;
NC_028238	336486	Turkeypox virus	NC_028238:GENE_100592-104461;
NC_028238	336486	Turkeypox virus	NC_028238:GENE_180015-185447;
NC_031033	160796,28874	Skunkpox virus,Volepox virus	NC_031033:GENE_4960-10791;
NC_031033	28874	Volepox virus	NC_031033:GENE_202571-208168;
NC_031038	160796	Skunkpox virus	NC_031038:GENE_200656-206316;
AJ581527	10261	Fowlpox virus	AJ581527:GENE_99702-105086;
AY603973	10244	Monkeypox virus	AY603973:GENE_183318-188960;
DQ437593	10243,10255,28873	Cowpox virus,Variola virus,Camelpox virus	DQ437593:GENE_187727-193435;
EF420156	99000	Tanapox virus	EF420156:GENE_121993-127704;
HQ420894	10243,10255,28871	Cowpox virus,Variola virus,Taterapox virus	HQ420894:GENE_186779-192454;
HQ420894	10243,12643	Cowpox virus,Ectromelia virus	HQ420894:GENE_209606-215383;
HQ420896	10243,10244,28871,28873	Cowpox virus,Monkeypox virus,Taterapox virus,Camelpox virus	HQ420896:GENE_149687-153574;
HQ420896	10243,10255,28871	Cowpox virus,Variola virus,Taterapox virus	HQ420896:GENE_203788-209538;
JX565562	10273	Myxoma virus	JX565562:GENE_125621-131626;
KC257460	10244	Monkeypox virus	KC257460:GENE_180931-186537;
KC813492	10243	Cowpox virus	KC813492:GENE_197867-203665;
KF148065	10273	Myxoma virus	KF148065:GENE_128772-134765;
KX857215	44088	Canarypox virus	KX857215:GENE_179706-185201;
KX857216	44088	Canarypox virus	KX857216:GENE_113978-119698;
KX857216	44088	Canarypox virus	KX857216:GENE_119784-125012;
KX857216	44088	Canarypox virus	KX857216:GENE_125198-130906;
KX857216	44088	Canarypox virus	KX857216:GENE_137289-142700;
KX857216	44088	Canarypox virus	KX857216:GENE_161685-167504;
KX857216	44088	Canarypox virus	KX857216:GENE_167553-172985;
KY040274	10279	Molluscum contagiosum virus	KY040274:GENE_42155-48565;
KY040276	10279	Molluscum contagiosum virus	KY040276:GENE_8344-12414;
KY369926	10243,10245	Cowpox virus,Vaccinia virus	KY369926:GENE_204887-210706;
L76841	10279	Molluscum contagiosum virus	L76841:GENE_643-6625;
LN864566	10243	Cowpox virus	LN864566:GENE_187455-193091;
LT896721	10243	Cowpox virus	LT896721:GENE_205167-210968;
U33419	10258,129726,129727	Orf virus,Pseudocowpox virus,Bovine papular stomatitis virus	U33419:GENE_177-4104;
MH320547	10279	Molluscum contagiosum virus	MH320547:GENE_7679-11728;
MH320549	10279	Molluscum contagiosum virus	MH320549:GENE_10475-14374;
MH320550	10279	Molluscum contagiosum virus	MH320550:GENE_11805-15728;
